 < 23:57:33 >  0 38,9178237915039 35 
 < 23:57:34 >  0,0865577757358551 38,8888893127441 35 
 < 23:57:35 >  0 38,8888893127441 35 
 < 23:57:36 >  0 38,8599548339844 35 
 < 23:57:37 >  0,0117355342954397 38,8310165405273 35 
 < 23:57:38 >  0,0667297393083572 38,8020820617676 35 
 < 23:57:39 >  0 38,8020820617676 35 
 < 23:57:40 >  0 38,7731475830078 35 
 < 23:57:41 >  0 38,744213104248 35 
 < 23:57:42 >  0 38,744213104248 35 
 < 23:57:43 >  0 38,7152786254883 35 
 < 23:57:44 >  0 38,6863403320313 35 
 < 23:57:45 >  0,106654740869999 38,6284713745117 35 
 < 23:57:46 >  0 38,6284713745117 35 
 < 23:57:47 >  0,0504295378923416 38,5706024169922 35 
 < 23:57:48 >  0,000711060129106045 38,5416641235352 35 
 < 23:57:49 >  0,0132354740053415 38,5127296447754 35 
 < 23:57:50 >  0 38,4837951660156 35 
 < 23:57:51 >  0 38,4548606872559 35 
 < 23:57:52 >  0 38,4259262084961 35 
 < 23:57:53 >  0 38,3969917297363 35 
 < 23:57:54 >  0 38,3680534362793 35 
 < 23:57:55 >  0,0422349944710732 38,3101844787598 35 
 < 23:57:56 >  0 38,28125 35 
 < 23:57:57 >  0,0874397307634354 38,2233772277832 35 
 < 23:57:58 >  0,18277645111084 38,1655082702637 35 
 < 23:57:59 >  0,0420028679072857 38,1365737915039 35 
 < 23:58:00 >  0,109004400670528 38,0787048339844 35 
 < 23:58:01 >  0,17273922264576 38,0208320617676 35 
 < 23:58:02 >  0,0550605766475201 37,9918975830078 35 
 < 23:58:03 >  0,120361328125 37,9340286254883 35 
 < 23:58:04 >  0,189860343933105 37,8761558532715 35 
 < 23:58:05 >  0,0872434601187706 37,8472213745117 35 
 < 23:58:06 >  0,173542782664299 37,7893524169922 35 
 < 23:58:07 >  0,0636835098266602 37,7604179382324 35 
 < 23:58:08 >  0,175766944885254 37,7025451660156 35 
 < 23:58:09 >  0,0821371078491211 37,6736106872559 35 
 < 23:58:10 >  0,0209247581660748 37,6446762084961 35 
 < 23:58:11 >  0,115439221262932 37,5868034362793 35 
 < 23:58:12 >  0,0574028044939041 37,5578689575195 35 
 < 23:58:13 >  0,148181155323982 37,5 35 
 < 23:58:14 >  0,105872914195061 37,4710655212402 35 
 < 23:58:15 >  0,0397327430546284 37,4421272277832 35 
 < 23:58:16 >  0 37,4131927490234 35 
 < 23:58:17 >  0,0423789992928505 37,3842582702637 35 
 < 23:58:18 >  0,0689409226179123 37,3553237915039 35 
 < 23:58:19 >  0,13079509139061 37,3263893127441 35 
 < 23:58:20 >  0,0830202102661133 37,2974548339844 35 
 < 23:58:21 >  0 37,2974548339844 35 
 < 23:58:22 >  0 37,2685165405273 35 
 < 23:58:23 >  0,113095477223396 37,2395820617676 35 
 < 23:58:24 >  0,0728586167097092 37,2106475830078 35 
 < 23:58:25 >  0,112034417688847 37,181713104248 35 
 < 23:58:26 >  0 37,181713104248 35 
 < 23:58:27 >  0 37,1527786254883 35 
 < 23:58:28 >  0,0430540069937706 37,1238403320313 35 
 < 23:58:29 >  0,121197134256363 37,0949058532715 35 
 < 23:58:30 >  0 37,0949058532715 35 
 < 23:58:31 >  0,0330656059086323 37,0659713745117 35 
 < 23:58:32 >  0 37,0659713745117 35 
 < 23:58:33 >  0,0567003265023232 37,037036895752 35 
 < 23:58:34 >  0 37,037036895752 35 
 < 23:58:35 >  0,0574039444327354 37,0081024169922 35 
 < 23:58:36 >  0 37,0081024169922 35 
 < 23:58:37 >  0 36,9791679382324 35 
 < 23:58:38 >  0,12192802131176 36,9502296447754 35 
 < 23:58:39 >  0,138907819986343 36,9212951660156 35 
 < 23:58:40 >  0,00239658355712891 36,9212951660156 35 
 < 23:58:41 >  0,0638689026236534 36,8923606872559 35 
 < 23:58:42 >  0,0793054550886154 36,8634262084961 35 
 < 23:58:43 >  0,0906644836068153 36,8344917297363 35 
 < 23:58:44 >  0 36,8344917297363 35 
 < 23:58:45 >  0,154296875 36,7766189575195 35 
 < 23:58:46 >  0,0275239944458008 36,7766189575195 35 
 < 23:58:47 >  0,0414134971797466 36,7476844787598 35 
 < 23:58:48 >  0,106817245483398 36,71875 35 
 < 23:58:49 >  0,10939035564661 36,6898155212402 35 
 < 23:58:50 >  0 36,6898155212402 35 
 < 23:58:51 >  0,197920128703117 36,6319427490234 35 
 < 23:58:52 >  0,0438894256949425 36,6319427490234 35 
 < 23:58:53 >  0,0506196022033691 36,6030082702637 35 
 < 23:58:54 >  0,0843615531921387 36,5740737915039 35 
 < 23:58:55 >  0,117403127253056 36,5451393127441 35 
 < 23:58:56 >  0 36,5451393127441 35 
 < 23:58:57 >  0,185252279043198 36,4872665405273 35 
 < 23:58:58 >  0,0759908705949783 36,4872665405273 35 
 < 23:58:59 >  0,108790017664433 36,4583320617676 35 
 < 23:59:00 >  0,137850850820541 36,4293975830078 35 
 < 23:59:01 >  0,0210411064326763 36,4293975830078 35 
 < 23:59:02 >  0,0563050284981728 36,400463104248 35 
 < 23:59:03 >  0,0926583260297775 36,3715286254883 35 
 < 23:59:04 >  0,127460092306137 36,3425903320313 35 
 < 23:59:05 >  0,169907853007317 36,3136558532715 35 
 < 23:59:06 >  0,216978833079338 36,2847213745117 35 
 < 23:59:07 >  0,258545964956284 36,255786895752 35 
 < 23:59:08 >  0,301885902881622 36,2268524169922 35 
 < 23:59:09 >  0,192200094461441 36,2268524169922 35 
 < 23:59:10 >  0,229412943124771 36,1979179382324 35 
 < 23:59:11 >  0,297318160533905 36,1689796447754 35 
 < 23:59:12 >  0,344007104635239 36,1400451660156 35 
 < 23:59:13 >  0,400685489177704 36,1111106872559 35 
 < 23:59:14 >  0,462628751993179 36,0821762084961 35 
 < 23:59:15 >  0,363959699869156 36,0821762084961 35 
 < 23:59:16 >  0,424425780773163 36,0532417297363 35 
 < 23:59:17 >  0,485458761453629 36,0243034362793 35 
 < 23:59:18 >  0,403730303049088 36,0243034362793 35 
 < 23:59:19 >  0,469046890735626 35,9953689575195 35 
 < 23:59:20 >  0,542629718780518 35,9664344787598 35 
 < 23:59:21 >  0,444676011800766 35,9664344787598 35 
 < 23:59:22 >  0,532968163490295 35,9375 35 
 < 23:59:23 >  0,595973134040833 35,9085655212402 35 
 < 23:59:24 >  0,522460758686066 35,9085655212402 35 
 < 23:59:25 >  0,603044211864471 35,8796272277832 35 
 < 23:59:26 >  0,694927215576172 35,8506927490234 35 
 < 23:59:27 >  0,600964844226837 35,8506927490234 35 
 < 23:59:28 >  0,677888572216034 35,8217582702637 35 
 < 23:59:29 >  0,768495321273804 35,7928237915039 35 
 < 23:59:30 >  0,666281759738922 35,7928237915039 35 
 < 23:59:31 >  0,772734761238098 35,7638893127441 35 
 < 23:59:32 >  0,857062578201294 35,7349548339844 35 
 < 23:59:33 >  0,943932414054871 35,7060165405273 35 
 < 23:59:34 >  1,03569757938385 35,6770820617676 35 
 < 23:59:35 >  0,966835200786591 35,6770820617676 35 
 < 23:59:36 >  1,05437159538269 35,6481475830078 35 
 < 23:59:37 >  1,00491213798523 35,6481475830078 35 
 < 23:59:38 >  1,09811997413635 35,619213104248 35 
 < 23:59:39 >  1,1938419342041 35,5902786254883 35 
 < 23:59:40 >  1,27693903446198 35,5613403320313 35 
 < 23:59:41 >  1,22387671470642 35,5613403320313 35 
 < 23:59:42 >  1,50366008281708 35,5034713745117 35 
 < 23:59:43 >  1,43234419822693 35,5034713745117 35 
 < 23:59:44 >  1,53898537158966 35,474536895752 35 
 < 23:59:45 >  1,63897573947906 35,4456024169922 35 
 < 23:59:46 >  1,74167442321777 35,4166679382324 35 
 < 23:59:47 >  1,85226440429688 35,3877296447754 35 
 < 23:59:48 >  1,95574617385864 35,3587951660156 35 
 < 23:59:49 >  2,22070932388306 35,3009262084961 35 
 < 23:59:50 >  2,32819557189941 35,2719917297363 35 
 < 23:59:51 >  2,44364070892334 35,2430534362793 35 
 < 23:59:52 >  2,54974627494812 35,2141189575195 35 
 < 23:59:53 >  2,83756971359253 35,15625 35 
 < 23:59:54 >  2,77561640739441 35,15625 35 
 < 23:59:55 >  2,92241930961609 35,1273155212402 35 
 < 23:59:56 >  3,04587888717651 35,0983772277832 35 
 < 23:59:57 >  3,18661856651306 35,0694427490234 35 
 < 23:59:58 >  3,15007543563843 35,0694427490234 35 
 < 23:59:59 >  3,30415320396423 35,0405082702637 35 
 < 00:00:00 >  3,27801179885864 35,0405082702637 35 
 < 00:00:01 >  3,44201636314392 35,0115737915039 35 
 < 00:00:02 >  3,42320704460144 35,0115737915039 35 
 < 00:00:03 >  3,42151761054993 35,0115737915039 35 
 < 00:00:04 >  3,56404829025269 34,9826393127441 35 
 < 00:00:05 >  3,55866003036499 34,9826393127441 35 
 < 00:00:06 >  3,70735263824463 34,9537048339844 35 
 < 00:00:07 >  3,68704748153687 34,9537048339844 35 
 < 00:00:08 >  3,70227670669556 34,9537048339844 35 
 < 00:00:09 >  3,69451642036438 34,9537048339844 35 
 < 00:00:10 >  3,85079526901245 34,9247665405273 35 
 < 00:00:11 >  3,84029674530029 34,9247665405273 35 
 < 00:00:12 >  3,85801196098328 34,9247665405273 35 
 < 00:00:13 >  3,99250650405884 34,8958320617676 35 
 < 00:00:14 >  4,17626714706421 34,8668975830078 35 
 < 00:00:15 >  4,15560054779053 34,8668975830078 35 
 < 00:00:16 >  4,16397285461426 34,8668975830078 35 
 < 00:00:17 >  4,31380748748779 34,837963104248 50 
 < 00:00:18 >  81,0166320800781 34,7800903320313 50 
 < 00:00:19 >  76,3540649414063 34,7800903320313 50 
 < 00:00:20 >  77,0631484985352 34,8090286254883 50 
 < 00:00:21 >  78,0045700073242 34,837963104248 50 
 < 00:00:22 >  78,9828948974609 34,8668975830078 50 
 < 00:00:23 >  79,9609222412109 34,8958320617676 50 
 < 00:00:24 >  80,936897277832 34,9247665405273 50 
 < 00:00:25 >  81,9055480957031 34,9537048339844 50 
 < 00:00:26 >  82,9065093994141 34,9826393127441 50 
 < 00:00:27 >  83,8595657348633 35,0115737915039 50 
