 < 22:59:15 >  40 100 30,3819446563721 
 < 22:59:16 >  40 99,9770431518555 30,46875 
 < 22:59:17 >  40 99,958251953125 30,5844898223877 
 < 22:59:18 >  40 99,9810791015625 30,6712951660156 
 < 22:59:19 >  40 100 30,7581005096436 
 < 22:59:20 >  40 99,9718475341797 30,8738422393799 
 < 22:59:21 >  40 99,9894027709961 30,9606475830078 
 < 22:59:22 >  40 99,94140625 31,0763893127441 
 < 22:59:23 >  40 100 31,1631946563721 
 < 22:59:24 >  40 99,8925094604492 31,2789344787598 
 < 22:59:25 >  40 100 31,3368053436279 
 < 22:59:26 >  40 99,9933700561523 31,4525451660156 
 < 22:59:27 >  40 100 31,568286895752 
 < 22:59:28 >  40 99,9374008178711 31,6840267181396 
 < 22:59:29 >  40 100 31,7418975830078 
 < 22:59:30 >  40 99,8258438110352 31,8865737915039 
 < 22:59:31 >  40 99,9753112792969 31,9733791351318 
 < 22:59:32 >  40 100 32,0601844787598 
 < 22:59:33 >  40 99,9085159301758 32,1469917297363 
 < 22:59:34 >  40 99,7289428710938 32,2916679382324 
 < 22:59:35 >  40 99,8716659545898 32,3784713745117 
 < 22:59:36 >  40 99,8213577270508 32,494213104248 
 < 22:59:37 >  40 99,9490203857422 32,5810165405273 
 < 22:59:38 >  40 99,9021759033203 32,6967582702637 
 < 22:59:39 >  40 100 32,7835655212402 
 < 22:59:40 >  40 99,6999664306641 32,9282417297363 
 < 22:59:41 >  40 99,6307601928711 33,0439796447754 
 < 22:59:42 >  40 99,7219543457031 33,130786895752 
 < 22:59:43 >  40 99,7928924560547 33,2175903320313 
 < 22:59:44 >  40 99,5290222167969 33,3622665405273 
 < 22:59:45 >  40 99,4377365112305 33,4780082702637 
 < 22:59:46 >  40 99,6548614501953 33,5358772277832 
 < 22:59:47 >  40 99,3714141845703 33,6805534362793 
 < 22:59:48 >  40 99,2508926391602 33,7962951660156 
 < 22:59:49 >  40 99,1234283447266 33,912036895752 
 < 22:59:50 >  40 99,1453475952148 33,9988403320313 
 < 22:59:51 >  40 98,9975357055664 34,1145820617676 
 < 22:59:52 >  40 99,0133666992188 34,2013893127441 
 < 22:59:53 >  40 98,8349304199219 34,3171272277832 
 < 22:59:54 >  40 98,8408737182617 34,4039344787598 
 < 22:59:55 >  40 98,6531982421875 34,5196762084961 
 < 22:59:56 >  40 98,6283645629883 34,6064796447754 
 < 22:59:57 >  40 98,587287902832 34,693286895752 
 < 22:59:58 >  40 98,5324172973633 34,7800903320313 
 < 22:59:59 >  40 98,4864501953125 34,8668975830078 
 < 23:00:00 >  40 98,5834197998047 34,9247665405273 
 < 23:00:01 >  40 98,5206604003906 35,0115737915039 
 < 23:00:02 >  40 98,4337615966797 35,0983772277832 
 < 23:00:03 >  40 98,357666015625 35,1851844787598 
 < 23:00:04 >  40 98,2739791870117 35,2719917297363 
 < 23:00:05 >  40 98,3473129272461 35,3298606872559 
 < 23:00:06 >  40 98,4033203125 35,3877296447754 
 < 23:00:07 >  40 98,1484451293945 35,5034713745117 
 < 23:00:08 >  40 98,0333862304688 35,5902786254883 
 < 23:00:09 >  40 97,9244918823242 35,6770820617676 
 < 23:00:10 >  40 97,9534759521484 35,7349548339844 
 < 23:00:11 >  40 97,8311767578125 35,8217582702637 
 < 23:00:12 >  40 97,8643646240234 35,8796272277832 
 < 23:00:13 >  40 97,8829193115234 35,9375 
 < 23:00:14 >  40 97,5638961791992 36,0532417297363 
 < 23:00:15 >  40 97,6010665893555 36,1111106872559 
 < 23:00:16 >  40 97,4344329833984 36,1979179382324 
 < 23:00:17 >  40 97,2961349487305 36,2847213745117 
 < 23:00:18 >  40 97,1405944824219 36,3715286254883 
 < 23:00:19 >  40 97,1336822509766 36,4293975830078 
 < 23:00:20 >  40 96,8085021972656 36,5451393127441 
 < 23:00:21 >  40 96,482048034668 36,6608772277832 
 < 23:00:22 >  40 96,3069763183594 36,7476844787598 
 < 23:00:23 >  40 96,2877349853516 36,8055534362793 
 < 23:00:24 >  40 95,9225845336914 36,9212951660156 
 < 23:00:25 >  40 95,8865737915039 36,9791679382324 
 < 23:00:26 >  40 95,6875686645508 37,0659713745117 
 < 23:00:27 >  40 95,3030014038086 37,181713104248 
 < 23:00:28 >  40 95,0894012451172 37,2685165405273 
 < 23:00:29 >  40 95,0451889038086 37,3263893127441 
 < 23:00:30 >  40 94,4969711303711 37,4710655212402 
 < 23:00:31 >  40 94,2749328613281 37,5578689575195 
 < 23:00:32 >  40 94,0488586425781 37,6446762084961 
 < 23:00:33 >  40 93,7930145263672 37,7314796447754 
 < 23:00:34 >  40 93,4034729003906 37,8472213745117 
 < 23:00:35 >  40 92,9925689697266 37,962963104248 
 < 23:00:36 >  40 92,7419815063477 38,0497665405273 
 < 23:00:37 >  40 92,3112106323242 38,1655082702637 
 < 23:00:38 >  40 91,8832855224609 38,28125 
 < 23:00:39 >  40 91,4514312744141 38,3969917297363 
 < 23:00:40 >  40 91,1691055297852 38,4837951660156 
 < 23:00:41 >  40 90,7170486450195 38,599536895752 
 < 23:00:42 >  40 90,2634811401367 38,7152786254883 
 < 23:00:43 >  40 89,962028503418 38,8020820617676 
 < 23:00:44 >  40 89,6533355712891 38,8888893127441 
 < 23:00:45 >  40 89,1609573364258 39,0046272277832 
 < 23:00:46 >  40 88,8391799926758 39,0914344787598 
 < 23:00:47 >  40 88,3377304077148 39,2071762084961 
