 < 17:03:33 >  403,800720214844 20,0556640625 400 
 < 17:03:34 >  403,800720214844 20,0556640625 400 
 < 17:03:35 >  404,031005859375 20,000940322876 400 
 < 17:03:36 >  404,031005859375 19,4974422454834 400 
 < 17:03:37 >  404,031005859375 19,4974422454834 400 
 < 17:03:38 >  404,53515625 19,4974422454834 400 
 < 17:03:39 >  404,53515625 19,519287109375 400 
 < 17:03:40 >  404,53515625 19,519287109375 400 
 < 17:03:41 >  404,368896484375 19,6453723907471 400 
 < 17:03:42 >  404,368896484375 19,6642818450928 400 
 < 17:03:43 >  404,368896484375 19,6642818450928 400 
 < 17:03:44 >  403,301971435547 19,6642818450928 400 
 < 17:03:45 >  403,301971435547 20,2664604187012 400 
 < 17:03:46 >  403,301971435547 20,2664604187012 400 
 < 17:03:47 >  403,442230224609 20,3479595184326 400 
 < 17:03:48 >  403,442230224609 20,332950592041 400 
 < 17:03:49 >  403,442230224609 20,332950592041 400 
 < 17:03:50 >  402,323303222656 20,332950592041 400 
 < 17:03:51 >  402,323303222656 20,8618907928467 400 
 < 17:03:52 >  402,323303222656 20,8618907928467 400 
 < 17:03:53 >  402,323303222656 20,6407279968262 400 
 < 17:03:54 >  402,644897460938 20,6280345916748 400 
 < 17:03:55 >  402,644897460938 20,6280345916748 400 
 < 17:03:56 >  402,644897460938 20,6280345916748 400 
 < 17:03:57 >  402,644897460938 20,2455577850342 400 
 < 17:03:58 >  402,644897460938 19,9830207824707 400 
 < 17:03:59 >  403,994720458984 19,9830207824707 400 
 < 17:04:00 >  403,994720458984 19,7016544342041 400 
 < 17:04:01 >  403,994720458984 19,7016544342041 400 
 < 17:04:02 >  403,994720458984 19,7016544342041 400 
 < 17:04:03 >  403,994720458984 19,4367637634277 400 
 < 17:04:04 >  403,994720458984 19,5808525085449 400 
 < 17:04:05 >  403,994720458984 19,5808525085449 400 
 < 17:04:06 >  403,994720458984 19,5249919891357 400 
 < 17:04:07 >  404,294555664063 19,5249919891357 400 
 < 17:04:08 >  404,294555664063 19,5249919891357 400 
 < 17:04:09 >  404,294555664063 19,6568965911865 400 
 < 17:04:10 >  404,294555664063 20,0530471801758 400 
 < 17:04:11 >  404,294555664063 20,0530471801758 400 
 < 17:04:13 >  403,124237060547 20,0385398864746 400 
 < 17:04:14 >  403,124237060547 20,0385398864746 400 
 < 17:04:15 >  403,124237060547 20,0385398864746 400 
 < 17:04:16 >  403,124237060547 20,2299346923828 400 
 < 17:04:17 >  403,124237060547 20,5942211151123 400 
 < 17:04:18 >  403,124237060547 20,5942211151123 400 
 < 17:04:19 >  403,124237060547 20,5942211151123 400 
 < 17:04:20 >  403,124237060547 20,8335304260254 440 
 < 17:04:21 >  403,124237060547 46,9241256713867 440 
 < 17:04:22 >  404,870025634766 46,9241256713867 440 
 < 17:04:23 >  404,870025634766 45,3598136901855 440 
 < 17:04:24 >  404,870025634766 45,3598136901855 440 
 < 17:04:25 >  404,870025634766 45,3598136901855 440 
 < 17:04:26 >  422,166564941406 40,3864631652832 440 
 < 17:04:27 >  422,166564941406 34,3303337097168 440 
 < 17:04:28 >  422,166564941406 34,3303337097168 440 
 < 17:04:29 >  422,166564941406 32,5344276428223 440 
 < 17:04:30 >  436,030120849609 32,5344276428223 440 
 < 17:04:31 >  436,030120849609 32,5344276428223 440 
 < 17:04:32 >  436,030120849609 26,2909297943115 440 
 < 17:04:33 >  440,771179199219 24,8154792785645 440 
 < 17:04:34 >  440,771179199219 24,8154792785645 440 
 < 17:04:35 >  441,458526611328 22,0872192382813 440 
 < 17:04:36 >  441,458526611328 22,0872192382813 440 
 < 17:04:37 >  441,458526611328 22,0872192382813 440 
 < 17:04:38 >  443,622009277344 20,6482353210449 440 
 < 17:04:39 >  444,195678710938 20,4664173126221 440 
 < 17:04:40 >  443,794891357422 20,2236061096191 440 
 < 17:04:41 >  443,794891357422 20,2236061096191 440 
 < 17:04:42 >  443,794891357422 20,2236061096191 440 
 < 17:04:43 >  443,794891357422 20,2236061096191 440 
 < 17:04:44 >  443,241790771484 20,4309692382813 440 
 < 17:04:45 >  443,048919677734 20,5847206115723 440 
 < 17:04:46 >  442,990325927734 20,8496265411377 440 
 < 17:04:47 >  442,990325927734 20,8496265411377 440 
 < 17:04:48 >  442,980041503906 20,8496265411377 440 
 < 17:04:49 >  442,980041503906 20,7240104675293 440 
 < 17:04:50 >  442,980041503906 20,7240104675293 440 
 < 17:04:51 >  442,925018310547 20,869255065918 440 
 < 17:04:52 >  442,756378173828 20,7025356292725 440 
 < 17:04:53 >  442,756378173828 20,7025356292725 440 
 < 17:04:54 >  442,756378173828 20,7025356292725 440 
 < 17:04:55 >  442,925018310547 20,8759365081787 440 
 < 17:04:56 >  442,925018310547 20,8759365081787 440 
 < 17:04:57 >  443,181304931641 20,7464218139648 440 
 < 17:04:58 >  442,69287109375 20,8156681060791 440 
 < 17:04:59 >  442,69287109375 20,8156681060791 440 
 < 17:05:00 >  442,69287109375 20,8156681060791 440 
 < 17:05:01 >  443,053771972656 20,8030281066895 440 
 < 17:05:02 >  442,861541748047 20,7903747558594 440 
 < 17:05:03 >  442,861541748047 20,7903747558594 440 
 < 17:05:04 >  443,06103515625 20,6095581054688 440 
 < 17:05:05 >  443,06103515625 20,6095581054688 440 
 < 17:05:06 >  443,06103515625 20,6095581054688 440 
 < 17:05:07 >  443,118469238281 20,5954971313477 440 
 < 17:05:08 >  442,798706054688 20,8316059112549 440 
 < 17:05:09 >  442,798706054688 20,8316059112549 440 
 < 17:05:10 >  442,634857177734 20,9267711639404 440 
 < 17:05:11 >  442,634857177734 20,9267711639404 440 
 < 17:05:12 >  442,634857177734 20,9267711639404 440 
 < 17:05:13 >  442,69287109375 20,6472702026367 440 
 < 17:05:14 >  442,462585449219 20,9722785949707 440 
 < 17:05:15 >  442,462585449219 20,9722785949707 440 
 < 17:05:16 >  442,335021972656 20,9211978912354 440 
 < 17:05:17 >  442,335021972656 20,9211978912354 440 
 < 17:05:18 >  442,566558837891 20,9196300506592 440 
 < 17:05:19 >  442,566558837891 20,9196300506592 440 
 < 17:05:20 >  442,189392089844 20,9080810546875 440 
 < 17:05:21 >  442,189392089844 20,9080810546875 440 
 < 17:05:22 >  442,189392089844 20,9080810546875 440 
 < 17:05:23 >  441,870788574219 20,9400234222412 440 
 < 17:05:24 >  441,985046386719 21,6399974822998 440 
 < 17:05:26 >  441,985046386719 21,6399974822998 440 
 < 17:05:27 >  442,717071533203 20,9309005737305 440 
 < 17:05:28 >  442,717071533203 20,9309005737305 440 
 < 17:05:29 >  442,717071533203 20,9309005737305 440 
 < 17:05:30 >  442,844635009766 20,5666427612305 440 
 < 17:05:31 >  441,711181640625 20,9260635375977 440 
 < 17:05:32 >  441,711181640625 20,9260635375977 440 
 < 17:05:33 >  441,310424804688 21,4409713745117 440 
 < 17:05:34 >  441,310424804688 21,4409713745117 440 
 < 17:05:35 >  441,310424804688 21,4409713745117 440 
 < 17:05:36 >  441,502655029297 21,5796318054199 440 
 < 17:05:37 >  441,948181152344 21,5730838775635 440 
 < 17:05:38 >  442,121032714844 21,2295761108398 440 
 < 17:05:39 >  442,121032714844 21,2295761108398 440 
 < 17:05:40 >  442,121032714844 21,2295761108398 440 
 < 17:05:41 >  442,749114990234 21,0325183868408 440 
 < 17:05:42 >  442,749114990234 21,0325183868408 440 
 < 17:05:43 >  442,240142822266 20,8555335998535 440 
 < 17:05:44 >  441,839324951172 21,1579551696777 440 
 < 17:05:45 >  441,839324951172 21,1579551696777 440 
 < 17:05:46 >  441,839324951172 21,1579551696777 440 
 < 17:05:47 >  441,285034179688 21,3360481262207 440 
 < 17:05:48 >  441,285034179688 21,3360481262207 440 
 < 17:05:49 >  441,2197265625 21,4951343536377 440 
 < 17:05:50 >  440,991821289063 21,6892719268799 440 
 < 17:05:51 >  440,991821289063 21,6892719268799 440 
 < 17:05:52 >  440,991821289063 21,6892719268799 440 
 < 17:05:53 >  441,333984375 21,6845035552979 440 
 < 17:05:54 >  441,333984375 21,6845035552979 440 
 < 17:05:55 >  441,464569091797 21,2782859802246 440 
 < 17:05:56 >  441,35693359375 21,3961772918701 440 
 < 17:05:57 >  441,35693359375 21,3961772918701 440 
 < 17:05:58 >  441,35693359375 21,3961772918701 440 
 < 17:05:59 >  441,411956787109 21,465015411377 440 
 < 17:06:00 >  441,476043701172 21,6247882843018 440 
 < 17:06:01 >  441,476043701172 21,6247882843018 440 
 < 17:06:02 >  441,092803955078 21,6247882843018 440 
 < 17:06:03 >  441,092803955078 21,6610260009766 440 
 < 17:06:04 >  441,092803955078 21,6610260009766 440 
 < 17:06:05 >  441,092803955078 21,6610260009766 440 
 < 17:06:06 >  440,710144042969 21,9012680053711 440 
 < 17:06:07 >  440,710144042969 21,9012680053711 440 
 < 17:06:08 >  440,517303466797 21,9012680053711 440 
 < 17:06:09 >  440,517303466797 22,0239582061768 440 
 < 17:06:10 >  440,517303466797 22,0239582061768 440 
 < 17:06:11 >  440,360748291016 22,1984596252441 440 
 < 17:06:12 >  440,973693847656 21,9716720581055 440 
 < 17:06:13 >  440,973693847656 21,9716720581055 440 
 < 17:06:14 >  440,973693847656 21,9716720581055 440 
 < 17:06:15 >  441,101257324219 21,720832824707 440 
 < 17:06:16 >  441,444610595703 21,5552101135254 440 
 < 17:06:17 >  441,444610595703 21,5552101135254 440 
 < 17:06:18 >  441,343048095703 21,4035930633545 440 
 < 17:06:19 >  441,343048095703 21,4035930633545 440 
 < 17:06:20 >  441,343048095703 21,4035930633545 440 
 < 17:06:21 >  441,470611572266 21,418571472168 440 
 < 17:06:22 >  441,049865722656 21,4957180023193 440 
 < 17:06:23 >  441,049865722656 21,4957180023193 440 
 < 17:06:24 >  441,049865722656 21,4957180023193 440 
 < 17:06:25 >  441,049865722656 21,6040935516357 440 
 < 17:06:26 >  441,049865722656 21,6040935516357 440 
 < 17:06:27 >  440,973693847656 21,5613136291504 440 
 < 17:06:28 >  440,909027099609 21,5564498901367 440 
 < 17:06:29 >  440,909027099609 21,5564498901367 440 
 < 17:06:30 >  440,670257568359 21,799633026123 440 
 < 17:06:31 >  440,670257568359 21,799633026123 440 
 < 17:06:32 >  440,670257568359 21,799633026123 440 
 < 17:06:33 >  440,438751220703 21,9834499359131 440 
 < 17:06:34 >  439,992004394531 22,0195999145508 440 
 < 17:06:35 >  439,885009765625 22,0195999145508 440 
 < 17:06:36 >  439,885009765625 22,0195999145508 440 
 < 17:06:38 >  439,885009765625 22,2681369781494 440 
 < 17:06:39 >  440,230133056641 22,3045768737793 440 
 < 17:06:40 >  440,230133056641 22,3045768737793 440 
 < 17:06:41 >  440,864898681641 21,8224220275879 440 
 < 17:06:42 >  440,610992431641 21,8224220275879 440 
 < 17:06:43 >  440,610992431641 21,8224220275879 440 
