 < 15:54:20 >  391,508209228516 23,2358303070068 400 
 < 15:54:21 >  391,508209228516 23,2358303070068 400 
 < 15:54:22 >  391,508209228516 22,8229465484619 400 
 < 15:54:23 >  391,508209228516 22,2944793701172 400 
 < 15:54:24 >  391,508209228516 22,2944793701172 400 
 < 15:54:25 >  401,342193603516 22,2944793701172 400 
 < 15:54:26 >  401,342193603516 21,4557952880859 400 
 < 15:54:27 >  401,342193603516 21,4557952880859 400 
 < 15:54:28 >  401,342193603516 21,6256504058838 400 
 < 15:54:29 >  405,981109619141 20,8599720001221 400 
 < 15:54:30 >  405,981109619141 20,8599720001221 400 
 < 15:54:31 >  405,981109619141 20,8599720001221 400 
 < 15:54:32 >  405,981109619141 20,0906867980957 400 
 < 15:54:33 >  405,981109619141 20,0906867980957 400 
 < 15:54:34 >  408,197814941406 19,8911361694336 400 
 < 15:54:35 >  408,197814941406 19,5963287353516 400 
 < 15:54:36 >  408,197814941406 19,5963287353516 400 
 < 15:54:37 >  408,197814941406 19,5963287353516 400 
 < 15:54:38 >  411,379272460938 18,7419471740723 400 
 < 15:54:39 >  411,379272460938 18,6741466522217 400 
 < 15:54:40 >  411,379272460938 18,6741466522217 400 
 < 15:54:41 >  412,057525634766 18,1911468505859 400 
 < 15:54:42 >  412,057525634766 18,1911468505859 400 
 < 15:54:43 >  412,594329833984 18,1911468505859 400 
 < 15:54:44 >  412,984222412109 17,6968727111816 400 
 < 15:54:45 >  413,249572753906 17,295337677002 400 
 < 15:54:46 >  413,249572753906 17,295337677002 400 
 < 15:54:47 >  413,13232421875 16,9273796081543 400 
 < 15:54:48 >  413,706604003906 16,9273796081543 400 
 < 15:54:49 >  413,706604003906 16,9273796081543 400 
 < 15:54:50 >  413,511962890625 16,6425933837891 400 
 < 15:54:51 >  413,511962890625 16,1035900115967 400 
 < 15:54:52 >  413,511962890625 16,1035900115967 400 
 < 15:54:53 >  413,337249755859 15,8608283996582 400 
 < 15:54:54 >  413,080932617188 15,8608283996582 400 
 < 15:54:55 >  413,080932617188 15,8608283996582 400 
 < 15:54:56 >  413,018676757813 15,5777816772461 400 
 < 15:54:57 >  413,018676757813 15,283447265625 400 
 < 15:54:58 >  413,018676757813 15,283447265625 400 
 < 15:55:00 >  412,785339355469 14,9657907485962 400 
 < 15:55:01 >  411,42578125 14,9657907485962 400 
 < 15:55:02 >  411,42578125 14,9657907485962 400 
 < 15:55:03 >  411,127838134766 14,7176055908203 400 
 < 15:55:04 >  411,127838134766 14,9637460708618 400 
 < 15:55:05 >  410,260314941406 14,9637460708618 400 
 < 15:55:06 >  410,260314941406 14,9637460708618 400 
 < 15:55:07 >  409,140808105469 14,5518894195557 400 
 < 15:55:08 >  409,140808105469 14,4804267883301 400 
 < 15:55:09 >  409,140808105469 14,4804267883301 400 
 < 15:55:10 >  408,951599121094 14,6613359451294 400 
 < 15:55:11 >  408,139770507813 14,6613359451294 400 
 < 15:55:12 >  408,139770507813 14,6613359451294 400 
 < 15:55:13 >  407,966278076172 14,2238502502441 400 
 < 15:55:14 >  407,966278076172 14,2484302520752 400 
 < 15:55:15 >  407,966278076172 14,2484302520752 400 
 < 15:55:16 >  406,600128173828 14,0171413421631 400 
 < 15:55:17 >  406,220489501953 14,0171413421631 400 
 < 15:55:18 >  406,220489501953 14,0171413421631 400 
 < 15:55:19 >  405,236999511719 14,4455347061157 400 
 < 15:55:20 >  405,236999511719 14,4455347061157 400 
 < 15:55:21 >  405,236999511719 14,4455347061157 400 
 < 15:55:22 >  404,948028564453 14,2086267471313 400 
 < 15:55:23 >  403,685821533203 14,2086267471313 400 
 < 15:55:24 >  402,525787353516 14,154034614563 400 
 < 15:55:25 >  402,525787353516 14,154034614563 400 
 < 15:55:26 >  402,525787353516 14,3671989440918 400 
 < 15:55:27 >  402,525787353516 14,3671989440918 400 
 < 15:55:28 >  402,128021240234 14,598822593689 400 
 < 15:55:29 >  401,2412109375 14,598822593689 400 
 < 15:55:30 >  400,126556396484 14,5378618240356 400 
 < 15:55:31 >  400,126556396484 14,5378618240356 400 
 < 15:55:32 >  400,126556396484 14,7257442474365 400 
 < 15:55:33 >  399,896789550781 15,084415435791 400 
 < 15:55:34 >  399,896789550781 15,084415435791 400 
 < 15:55:35 >  398,708984375 15,084415435791 400 
 < 15:55:36 >  398,26708984375 14,9225177764893 400 
 < 15:55:37 >  398,26708984375 14,9225177764893 400 
 < 15:55:38 >  398,26708984375 15,4261226654053 400 
 < 15:55:39 >  397,168701171875 15,4261226654053 400 
 < 15:55:40 >  396,289184570313 15,3536319732666 400 
